,RETAILER_ID,TXN_COUNT,ITEM_COUNT,DOLLAR_SALES,category_hh_idx,log_txn_count,log_itemcount,log_dollar_sales,log_cat_hh,norm_log_txn_count,norm_log_itemcount,norm_log_dollar_sales,norm_log_cat_hh,labels_from_model,tsne_1,tsne_2,tsne_3
77,595,837305,4245725,68300000,0.481247656,13.63794368,15.26142315,18.03942032,-0.731373263,1.74988158,1.565791778,2.199749931,1.106415036,0,9.320878029,-1.922403574,0.732818902
78,131,306782,3166776,12500000,0.306654315,12.63389268,14.96822459,16.3412392,-1.182034176,0.293211391,1.225668148,0.164006173,-0.767795526,0,2.22631979,-3.298611403,0.375086278
79,2058,242042,1001127,4031460.04,0.368613785,12.39686654,13.81663692,15.20963916,-0.998005835,-0.050664468,-0.110225793,-1.192532119,-0.002457662,2,-2.973692417,-0.901053786,-1.90604496
80,853,281597,1427384,19200000,0.306306374,12.54823225,14.17135396,16.77042084,-1.183169455,0.168935842,0.301262058,0.678500077,-0.772516929,2,1.967684984,-1.363232493,1.296106815
81,70,238984,1026946,6712718.76,0.31346396,12.38415188,13.84209991,15.71951461,-1.160070887,-0.069110809,-0.080687576,-0.581304175,-0.676454502,2,-2.290133953,-1.796874046,-0.054505069
82,2036,114596,437882,4999684.76,0.374231266,11.64916818,12.98970475,15.42488542,-0.982881314,-1.135420039,-1.069504632,-0.934499438,0.060442262,1,-5.379974365,1.66635108,-0.404460609
83,326,85342,312597,3459482.67,0.352085109,11.35442199,12.6526701,15.05662962,-1.043882346,-1.563035749,-1.460480112,-1.375956736,-0.193249096,1,-6.670758724,1.698431373,-0.550177038
84,2037,89954,333620,2635475.54,0.278837134,11.40705371,12.7177579,14.78457419,-1.277127417,-1.486678024,-1.384975312,-1.702091048,-1.163269708,1,-6.879153728,0.348420471,0.039726391
85,715,113569,453269,5278401.16,0.380800875,11.64016586,13.02424105,15.4791338,-0.965478679,-1.148480539,-1.029440957,-0.869467624,0.132816417,1,-5.274785519,1.796487927,-0.404542714
86,406,320583,2026612,13300000,0.279695058,12.67789649,14.52187599,16.40327459,-1.274055348,0.35705182,0.70788352,0.238372893,-1.150493575,2,2.048644066,-2.927794456,1.433568239
87,615,313503,838843,7658031.29,0.407593256,12.65556421,13.63977884,15.8512655,-0.897485524,0.324652298,-0.315389192,-0.423363984,0.415586645,2,-1.515616179,1.11834991,-1.870440841
88,609,250378,709184,6051660.36,0.437995268,12.43072705,13.47187029,15.61584323,-0.825547172,-0.001539875,-0.510170725,-0.705583236,0.714764175,3,-2.386100054,1.603241801,-2.02897501
89,12,340612,2221508,20600000,0.317672437,12.73849928,14.6136968,16.84080163,-1.146734499,0.444973919,0.814399827,0.762871093,-0.620991077,0,3.839308739,-2.252441168,0.575837672
90,542,109935,360374,4022359.33,0.487423209,11.60764456,12.79489766,15.20737919,-0.718622521,-1.195662214,-1.29548969,-1.195241329,1.159442876,1,-5.075939178,3.52096343,-1.703073859
91,130,335817,1594428,20300000,0.510573392,12.72432165,14.28202561,16.82613144,-0.672220887,0.424405112,0.429646196,0.745284779,1.352418194,3,0.609762549,3.465679169,-1.833742976
92,610,280786,750973,7593335.72,0.420091355,12.54534809,13.52912498,15.84278154,-0.867283081,0.164751526,-0.443752692,-0.43353437,0.541192697,2,-1.857742429,1.37599802,-1.887155533
93,1968,293952,944560,12400000,0.365984054,12.59117177,13.75847449,16.33320703,-1.005165514,0.231232195,-0.177696854,0.154377375,-0.032233365,2,-0.020663735,0.542601705,-0.352081418
94,412,328260,1097742,15500000,0.343062516,12.70156126,13.9087659,16.55635058,-1.069842587,0.391384494,-0.003351999,0.421877164,-0.301212656,2,1.169451714,0.132299885,0.200853229
95,325,79409,305965,3768237.63,0.350597755,11.28236699,12.631226,15.14211798,-1.04811571,-1.667572642,-1.485356247,-1.273475091,-0.210854828,1,-6.69854641,1.810556531,-0.453660131
96,1962,391591,1990540,35600000,0.501293236,12.87797321,14.50391652,17.3878562,-0.690564047,0.647321721,0.687049715,1.418668579,1.276132581,0,1.293113351,3.575689077,-1.871997476
97,71,310969,2620721,18600000,0.315594916,12.64744851,14.77896003,16.73867214,-1.153295798,0.312878096,1.006112667,0.640440406,-0.648278235,0,3.472649813,-2.788998127,0.502345026
98,3414,237583,967528,10000000,0.325519511,12.37827232,13.78249964,16.11809565,-1.122332879,-0.077640845,-0.149826585,-0.103493616,-0.519509511,2,-1.294246554,-0.780033946,0.442969024
99,561,208753,738984,6602449.64,0.286239502,12.24890701,13.51303155,15.7029513,-1.250926398,-0.265323122,-0.4624218,-0.601159924,-1.054304798,2,-3.213609934,-1.759075999,0.618629098
100,138,268661,2157052,12800000,0.286018585,12.50120564,14.58425303,16.36495573,-1.251698487,0.100709966,0.780243718,0.192437046,-1.057515765,2,1.650758386,-3.081560612,1.251350403
101,57,355252,2246959,17000000,0.285806595,12.78058268,14.6250883,16.6487239,-1.252439939,0.506028218,0.827614486,0.532612354,-1.060599319,0,3.130160332,-2.82234931,1.464049578
102,2096,144119,409075,7279079.93,0.521946633,11.87839463,12.92165379,15.80051503,-0.650189932,-0.802859908,-1.148446827,-0.484202576,1.444040627,3,-3.798502207,3.844888926,-1.618394136
103,227,556663,2575150,27300000,0.329578348,13.22971531,14.76141834,17.12239726,-1.109941173,1.157626708,0.985763515,1.100441998,-0.467974833,0,6.361368656,-2.086253405,1.11662519
104,3443,223582,715046,13000000,0.4147859,12.31753352,13.48010216,16.38045992,-0.879992797,-0.165760271,-0.500621391,0.211023138,0.488335474,2,-1.129121065,2.164842129,-0.764887035
105,437,330886,2291485,17000000,0.296391177,12.70952918,14.64471064,16.6487239,-1.216075152,0.402944309,0.850377282,0.532612354,-0.909365286,0,3.065872908,-2.728744745,1.131441712
106,534,186854,901821,12000000,0.35124107,12.13808284,13.71217133,16.30041721,-1.046282483,-0.426106057,-0.231410618,0.115069626,-0.203230795,2,-1.670199156,0.345579118,0.611301005
107,1950,123286,389018,5813973.36,0.565235458,11.72226214,12.87138089,15.57577478,-0.570512896,-1.029375832,-1.206765669,-0.753616454,1.775401831,3,-4.192529678,4.214653969,-1.901458144
108,408,472018,1527542,13400000,0.327922148,13.0647724,14.23917047,16.41076526,-1.114979052,0.918328686,0.379932285,0.247352553,-0.488926383,2,3.205952883,-0.125592604,0.930782139
109,910,188519,1654432,4930194.61,0.381414234,12.14695408,14.31896831,15.41088902,-0.963869267,-0.413235732,0.4725014,-0.951278028,0.139509646,2,-2.69678092,-1.325816035,-2.243584156
110,187,267213,1187980,13100000,0.330220137,12.49580137,13.98776494,16.38812279,-1.107995765,0.09286949,0.088290475,0.220209229,-0.459884262,2,0.454809844,-0.610935748,0.327163696
111,3439,138312,368357,4787479.93,0.402942905,11.83726728,12.81680786,15.38151472,-0.908960401,-0.862527173,-1.27007287,-0.98649132,0.367864877,1,-5.095742226,2.096585751,-1.071177602
112,329,85090,296462,2922258.33,0.397340505,11.3514648,12.59967433,14.88786728,-0.92296167,-1.567326025,-1.521957613,-1.578265477,0.309636338,1,-6.548510551,2.323143959,-1.069943547
113,2038,204353,855545,7227574.64,0.312233435,12.22760417,13.65949397,15.79341408,-1.164004181,-0.29622914,-0.292518745,-0.492715044,-0.692812305,2,-2.696878433,-1.339160919,0.411663204
114,433,125476,448982,3751541.88,0.251362202,11.73986978,13.01473808,15.13767748,-1.380860344,-1.003830782,-1.040464834,-1.278798265,-1.594674659,1,-6.453452587,-0.352896035,0.396768421
115,328,66738,243719,2629337.38,0.384759002,11.10852978,12.4037712,14.78224243,-0.955138109,-1.919774448,-1.749214127,-1.704886323,0.175820823,1,-6.882727623,2.453892231,-0.96883744
116,409,362007,1281248,15000000,0.305228558,12.79941883,14.06334516,16.52356076,-1.186694413,0.533355576,0.175966955,0.382569415,-0.787176541,2,1.96207726,-0.750551224,1.200320005
117,234,482416,1589192,15100000,0.325900755,13.08656209,14.27873627,16.5302053,-1.121162375,0.949941019,0.425830412,0.390534753,-0.514641617,0,3.412914991,-0.294828951,0.90530324
